Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,projects\Gibbed.Frostbite3.Common\Gibbed.Frostbite3.Common.csproj,File,projects\Gibbed.Frostbite3.Common\Gibbed.Frostbite3.Common.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,projects\Gibbed.Frostbite3.Common\Gibbed.Frostbite3.Common.csproj,File,projects\Gibbed.Frostbite3.Common\Gibbed.Frostbite3.Common.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,projects\Gibbed.Frostbite3.ConvertDbObject\Gibbed.Frostbite3.ConvertDbObject.csproj,File,projects\Gibbed.Frostbite3.ConvertDbObject\Gibbed.Frostbite3.ConvertDbObject.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,projects\Gibbed.Frostbite3.ConvertDbObject\Gibbed.Frostbite3.ConvertDbObject.csproj,File,projects\Gibbed.Frostbite3.ConvertDbObject\Gibbed.Frostbite3.ConvertDbObject.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,projects\Gibbed.Frostbite3.ConvertDbObject\Gibbed.Frostbite3.ConvertDbObject.csproj,File,projects\Gibbed.Frostbite3.ConvertDbObject\Program.cs,40,12,P:System.Reflection.Assembly.CodeBase,,,,,return Path.GetFileName(System.Reflection.Assembly.GetExecutingAssembly().CodeBase);
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,projects\Gibbed.Frostbite3.Dynamic\Gibbed.Frostbite3.Dynamic.csproj,File,projects\Gibbed.Frostbite3.Dynamic\Gibbed.Frostbite3.Dynamic.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,projects\Gibbed.Frostbite3.Dynamic\Gibbed.Frostbite3.Dynamic.csproj,File,projects\Gibbed.Frostbite3.Dynamic\Gibbed.Frostbite3.Dynamic.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,projects\Gibbed.Frostbite3.GeneratePartitionMap\Gibbed.Frostbite3.GeneratePartitionMap.csproj,File,projects\Gibbed.Frostbite3.GeneratePartitionMap\Gibbed.Frostbite3.GeneratePartitionMap.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,projects\Gibbed.Frostbite3.GeneratePartitionMap\Gibbed.Frostbite3.GeneratePartitionMap.csproj,File,projects\Gibbed.Frostbite3.GeneratePartitionMap\Gibbed.Frostbite3.GeneratePartitionMap.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,projects\Gibbed.Frostbite3.GeneratePartitionMap\Gibbed.Frostbite3.GeneratePartitionMap.csproj,File,projects\Gibbed.Frostbite3.GeneratePartitionMap\Program.cs,43,12,P:System.Reflection.Assembly.CodeBase,,,,,return Path.GetFileName(System.Reflection.Assembly.GetExecutingAssembly().CodeBase);
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,projects\Gibbed.Frostbite3.ResourceFormats\Gibbed.Frostbite3.ResourceFormats.csproj,File,projects\Gibbed.Frostbite3.ResourceFormats\Gibbed.Frostbite3.ResourceFormats.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,projects\Gibbed.Frostbite3.ResourceFormats\Gibbed.Frostbite3.ResourceFormats.csproj,File,projects\Gibbed.Frostbite3.ResourceFormats\Gibbed.Frostbite3.ResourceFormats.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,projects\Gibbed.Frostbite3.Unbundling\Gibbed.Frostbite3.Unbundling.csproj,File,projects\Gibbed.Frostbite3.Unbundling\Gibbed.Frostbite3.Unbundling.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,projects\Gibbed.Frostbite3.Unbundling\Gibbed.Frostbite3.Unbundling.csproj,File,projects\Gibbed.Frostbite3.Unbundling\Gibbed.Frostbite3.Unbundling.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.Frostbite3.Unbundling\Gibbed.Frostbite3.Unbundling.csproj,File,projects\Gibbed.Frostbite3.Unbundling\ChunkLoader.cs,136,16,"M:System.IO.MemoryMappedFiles.MemoryMappedFile.CreateFromFile(System.IO.FileStream,System.String,System.Int64,System.IO.MemoryMappedFiles.MemoryMappedFileAccess,System.IO.MemoryMappedFiles.MemoryMappedFileSecurity,System.IO.HandleInheritability,System.Boolean)",,,,,"files[index] = MemoryMappedFile.CreateFromFile(                      temp,                      null,                      0,                      MemoryMappedFileAccess.Read,                      null,                      HandleInheritability.None,                      false);"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,projects\Gibbed.Frostbite3.UnpackInitFS\Gibbed.Frostbite3.UnpackInitFS.csproj,File,projects\Gibbed.Frostbite3.UnpackInitFS\Gibbed.Frostbite3.UnpackInitFS.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,projects\Gibbed.Frostbite3.UnpackInitFS\Gibbed.Frostbite3.UnpackInitFS.csproj,File,projects\Gibbed.Frostbite3.UnpackInitFS\Gibbed.Frostbite3.UnpackInitFS.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,projects\Gibbed.Frostbite3.UnpackInitFS\Gibbed.Frostbite3.UnpackInitFS.csproj,File,projects\Gibbed.Frostbite3.UnpackInitFS\Program.cs,35,12,P:System.Reflection.Assembly.CodeBase,,,,,return Path.GetFileName(System.Reflection.Assembly.GetExecutingAssembly().CodeBase);
